race_id,cognitive_load,s_psych,g_lat,speed,throttle,brake,emotion_angry,emotion_fearful,sector,lap_progress,tyre_compound,tyre_life,track_status,delta_seconds
2018_2018 Chinese Grand Prix,38.5,38.5,0.0,0.0,27.0,0.0,0.12366899102926254,0.12123914808034897,2,0.0,ULTRASOFT,34.0,41,0.0
2018_2018 Chinese Grand Prix,37.8,37.8,0.002,118.0,0.0,1.0,0.1104930192232132,0.12289103865623474,1,0.23338025264705622,nan,1.0,,9.303898000000004
2018_2018 Chinese Grand Prix,38.1,38.1,0.007,310.0,100.0,0.0,0.11486278474330902,0.12291841953992844,2,0.3433259024600105,ULTRASOFT,5.0,,0.04089799999999855
2018_2018 Chinese Grand Prix,38.6,38.6,0.008,220.0,0.0,0.0,0.12264508008956909,0.12303870171308517,2,0.5824410707151448,ULTRASOFT,25.0,,0.0
2018_2018 Chinese Grand Prix,38.4,38.4,0.001,142.0,40.549998933333335,0.0,0.11921676248311996,0.12297629565000534,2,0.7164290253395846,ULTRASOFT,27.0,,0.0
